,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
184,924163,5,5,Good,,Once a week,169.0,63.0,Male,1971
185,924171,3,7,Very good,10.0,Once a week,161.0,65.0,Female,1995
186,924202,9,,Very bad,,Several times a week,170.0,74.0,Female,1970
187,924236,8,9,Fair,,Several times a week,178.0,93.0,Male,1952
188,924244,7,8,Very good,,Several times a week,178.0,90.0,Male,1983
189,924252,Most people can be trusted,9,Very good,,Once a month,169.0,56.0,Female,1995
190,924278,Most people can be trusted,Extremely happy,Good,20.0,Several times a week,167.0,54.0,Female,1934
191,924325,8,9,Good,,Once a month,175.0,78.0,Male,1971
192,924359,8,Extremely happy,Good,,Once a week,165.0,72.0,Male,1937
193,924367,5,8,Very good,,Once a week,178.0,85.0,Male,1943
194,924375,7,Extremely happy,Very good,,Once a month,178.0,76.0,Female,1976
195,924383,3,8,Bad,,Never,175.0,94.0,Male,1946
196,924406,8,8,Good,,Never,168.0,65.0,Female,1934
197,924430,7,8,Very good,,Once a week,178.0,69.0,Male,1957
198,924464,7,9,Good,,Once a month,174.0,74.0,Female,1991
199,924472,8,8,Very good,,Less than once a month,168.0,72.0,Female,1989
200,924480,8,Extremely happy,Very good,,Less than once a month,166.0,65.0,Female,1957
201,924498,5,7,Very good,10.0,Several times a week,175.0,66.0,Male,1966
202,924503,7,8,Good,,Every day,181.0,81.5,Male,1932
203,924511,8,9,Fair,20.0,Less than once a month,157.0,59.0,Male,1957
204,924529,8,9,Good,,Several times a week,163.0,75.0,Female,1957
205,924545,5,Extremely happy,Good,4.0,Never,172.0,75.0,Male,1979
206,924561,8,Extremely happy,Very good,,Less than once a month,172.0,57.0,Female,1980
207,924579,5,9,Bad,,Several times a week,165.0,66.0,Female,1945
208,924595,8,9,Good,,Several times a week,165.0,80.0,Female,1955
209,924600,9,6,Fair,,Several times a week,188.0,91.0,Male,1955
210,924618,7,9,Good,,Once a week,180.0,81.0,Male,1977
211,924626,8,8,Very good,25.0,Once a month,168.0,85.0,Male,1942
212,924676,3,8,Very good,,Once a week,180.0,83.0,Male,1955
213,924692,7,5,Good,,Once a week,163.0,58.0,Female,1980
214,924715,9,9,Good,3.0,Once a week,167.0,95.0,Female,1985
215,924731,5,8,Bad,,Never,178.0,86.0,Male,1951
216,924781,9,Extremely happy,Very good,,Several times a week,178.0,75.0,Male,1973
217,924812,You can't be too careful,9,Very good,,Once a week,173.0,65.0,Female,1984
218,924846,8,9,Very good,,Less than once a month,168.0,68.0,Female,1972
219,924854,7,7,Good,,Never,173.0,87.0,Male,1966
220,924862,7,8,Very good,,Once a month,178.0,82.0,Male,1980
221,924901,Most people can be trusted,Extremely happy,Very good,,Several times a week,164.0,70.0,Female,1957
222,924943,7,9,Very good,,2-3 times a month,185.0,82.0,Male,1998
223,924951,7,8,Very good,,Once a week,162.0,59.0,Female,1980
224,924969,8,5,Good,20.0,Every day,176.0,76.0,Male,1957
225,924985,8,9,Very good,,Once a week,188.0,85.0,Male,1946
226,925038,8,7,Very good,,Several times a week,168.0,63.0,Female,1968
227,925046,7,9,Very good,10.0,Several times a week,169.0,74.0,Female,1960
228,925054,8,7,Very good,4.0,Once a month,170.0,66.0,Female,1975
229,925062,6,9,Very good,,Once a month,174.0,108.0,Male,1977
230,925088,4,Extremely happy,Very good,,Once a week,178.0,86.0,Female,1944
231,925096,6,9,Fair,,Less than once a month,179.0,78.6,Male,1996
232,925101,6,5,Very good,9.0,Once a week,176.0,83.0,Male,1990
233,925119,8,8,Very good,,Several times a week,168.0,57.0,Female,1971
234,925127,5,9,Good,,Never,163.0,62.0,Female,1989
235,925143,4,8,Fair,,2-3 times a month,168.0,66.0,Female,1956
236,925169,7,7,Fair,,2-3 times a month,174.0,64.0,Male,1933
237,925177,5,Extremely happy,Good,13.0,Every day,164.0,74.0,Female,1957
238,925185,9,9,Very good,,Once a month,167.0,54.0,Female,1974
